,game_id,game_date,away_team,home_team,pregame_odds,total_over_points,total_over_stake_percentage,total_over_wager_percentage,total_over_odds,total_over_decimal_odds,total_over_won,total_under_points,total_under_stake_percentage,total_under_wager_percentage,total_under_odds,total_under_decimal_odds,total_under_won,money_away_odds,money_away_decimal_odds,money_away_stake_percentage,money_away_wager_percentage,money_away_won,money_home_odds,money_home_decimal_odds,money_home_stake_percentage,money_home_wager_percentage,money_home_won,spread_away_points,spread_away_odds,spread_away_decimal_odds,spread_away_stake_percentage,spread_away_wager_percentage,spread_away_won,spread_home_points,spread_home_odds,spread_home_decimal_odds,spread_home_stake_percentage,spread_home_wager_percentage,spread_home_won
0,nba.g.2022011002,2022-01-10-10:00,Indiana,Boston,"-8.5, O/U 211.5",211.5,86.67,87.16,-110,1.910,False,211.5,13.33,12.84,-110,1.910,True,290,3.900,7.6,8.9,False,-375,1.260,92.39,91.1,True,8.5,-110.0,1.910,47.16,55.0,True,-8.5,-110.0,1.910,52.84,45.0,False
0,nba.g.2022011008,2022-01-10-10:00,Utah,Detroit,"-10.5, O/U 223.5",223.5,61.94,60.27,-110,1.910,True,223.5,38.07,39.73,-110,1.910,False,-550,1.180,84.2,91.17,False,400,5.000,15.79,8.83,True,-10.5,-110.0,1.910,78.92,76.91,False,10.5,-110.0,1.910,21.08,23.09,True
0,nba.g.2022011010,2022-01-10-10:00,Philadelphia,Houston,"-9.5, O/U 226.5",226.5,83.16,79.32,-115,1.870,False,226.5,16.84,20.68,-105,1.950,True,-450,1.220,91.08,90.69,True,350,4.500,8.92,9.31,False,-9.5,-110.0,1.910,78.36,85.94,True,9.5,-110.0,1.910,21.64,14.06,False
0,nba.g.2022011018,2022-01-10-10:00,San Antonio,New York,"-5.5, O/U 212.5",212.5,74.86,83.32,-110,1.910,False,212.5,25.13,16.68,-110,1.910,True,180,2.800,20.11,10.98,False,-225,1.450,79.89,89.02,True,5.5,-110.0,1.910,51.98,56.17,False,-5.5,-110.0,1.910,48.02,43.83,True
0,nba.g.2022011022,2022-01-10-10:00,Brooklyn,Portland,"-8.5, O/U 225.5",225.5,76.32,79.16,-115,1.870,False,225.5,23.67,20.84,-105,1.950,True,-375,1.260,85.29,87.3,False,290,3.900,14.71,12.7,True,-8.5,-110.0,1.910,58.18,70.42,False,8.5,-110.0,1.910,41.82,29.58,True
0,nba.g.2022011023,2022-01-10-10:00,Cleveland,Sacramento,"-5.5, O/U 220.5",220.5,65.03,66.2,-110,1.910,False,220.5,34.97,33.8,-110,1.910,True,-225,1.450,88.65,83.1,True,180,2.800,11.35,16.9,False,-5.5,-110.0,1.910,62.8,60.52,False,5.5,-110.0,1.910,37.2,39.48,True
0,nba.g.2022011030,2022-01-10-10:00,Milwaukee,Charlotte,"-3.5, O/U 237.5",237.5,60.38,53.97,-110,1.910,False,237.5,39.63,46.03,-110,1.910,True,-160,1.620,72.27,70.03,False,135,2.350,27.73,29.97,True,-3.5,-110.0,1.910,61.95,56.92,False,3.5,-110.0,1.910,38.05,43.08,True
0,nba.g.2022011103,2022-01-11-10:00,Minnesota,New Orleans,"-3.5, O/U 226.5",226.5,58.16,56.69,-110,1.910,True,226.5,41.85,43.31,-110,1.910,False,-160,1.620,84.64,78.41,False,135,2.350,15.36,21.59,True,-3.5,-110.0,1.910,78.95,81.15,False,3.5,-110.0,1.910,21.05,18.85,True
0,nba.g.2022011104,2022-01-11-10:00,Detroit,Chicago,"-13.5, O/U 219.5",219.5,67.66,66.48,-110,1.910,True,219.5,32.34,33.52,-110,1.910,False,650,7.500,34.07,7.67,False,-1000,1.100,65.94,92.33,True,13.5,-110.0,1.910,43.56,50.37,False,-13.5,-110.0,1.910,56.44,49.63,True
0,nba.g.2022011112,2022-01-11-10:00,Denver,LA Clippers,"-2.5, O/U 213.5",213.5,69.8,72.05,-110,1.910,False,213.5,30.2,27.95,-110,1.910,True,-140,1.720,80.77,72.88,False,115,2.150,19.22,27.12,True,-2.5,-110.0,1.910,57.55,69.01,False,2.5,-110.0,1.910,42.45,30.99,True
0,nba.g.2022011127,2022-01-11-10:00,Oklahoma City,Washington,"-6.5, O/U 210.5",210.5,61.74,76.23,-110,1.910,True,210.5,38.27,23.77,-110,1.910,False,220,3.200,33.8,6.0,False,-275,1.360,66.2,94.0,True,6.5,-110.0,1.910,47.54,47.09,True,-6.5,-110.0,1.910,52.46,52.91,False
0,nba.g.2022011128,2022-01-11-10:00,Phoenix,Toronto,"-4.5, O/U 222.5",222.5,70.63,67.99,-110,1.910,False,222.5,29.37,32.01,-110,1.910,True,-190,1.530,59.59,70.13,True,155,2.550,40.41,29.87,False,-4.5,-110.0,1.910,51.83,56.35,False,4.5,-110.0,1.910,48.17,43.65,True
0,nba.g.2022011129,2022-01-11-10:00,Golden State,Memphis,"-1.5, O/U 221.5",221.5,76.24,75.99,-110,1.910,True,221.5,23.76,24.01,-110,1.910,False,-125,1.800,61.02,54.14,False,105,2.050,38.98,45.86,True,-1.5,-115.0,1.870,41.59,46.17,False,1.5,-105.0,1.950,58.41,53.83,True
0,nba.g.2022101802,2022-10-18-10:00,Philadelphia,Boston,"-3.5, O/U 216.5",216.5,84.55,80.21,-110,1.910,True,216.5,15.45,19.79,-110,1.910,False,125,2.250,57.14,18.12,False,-155,1.650,42.87,81.88,True,3.5,-115.0,1.870,88.92,81.73,False,-3.5,-105.0,1.950,11.08,18.27,True
0,nba.g.2022101809,2022-10-18-10:00,LA Lakers,Golden State,"-7.5, O/U 223.5",223.5,73.51,73.39,-110,1.910,True,223.5,26.5,26.61,-110,1.910,False,250,3.500,70.72,12.03,False,-300,1.310,29.28,87.97,True,7.5,-110.0,1.910,17.57,29.64,False,-7.5,-110.0,1.910,82.43,70.36,True
0,nba.g.2022101901,2022-10-19-10:00,Houston,Atlanta,"-10.5, O/U 234.5",234.5,88.0,62.17,-110,1.910,False,234.5,12.0,37.83,-110,1.910,True,375,4.750,44.32,3.58,False,-500,1.200,55.67,96.42,True,10.5,-115.0,1.870,69.76,77.09,True,-10.5,-105.0,1.950,30.24,22.91,False
