,game_id,game_date,away_team,home_team,pregame_odds,total_over_points,total_over_stake_percentage,total_over_wager_percentage,total_over_odds,total_over_decimal_odds,total_over_won,total_under_points,total_under_stake_percentage,total_under_wager_percentage,total_under_odds,total_under_decimal_odds,total_under_won,money_away_odds,money_away_decimal_odds,money_away_stake_percentage,money_away_wager_percentage,money_away_won,money_home_odds,money_home_decimal_odds,money_home_stake_percentage,money_home_wager_percentage,money_home_won,spread_away_points,spread_away_odds,spread_away_decimal_odds,spread_away_stake_percentage,spread_away_wager_percentage,spread_away_won,spread_home_points,spread_home_odds,spread_home_decimal_odds,spread_home_stake_percentage,spread_home_wager_percentage,spread_home_won
0,nba.g.2024102202,2024-10-22-10:00,New York,Boston,"-5.5, O/U 221.5",221.5,89.22,86.74,-110,1.910,True,221.5,10.78,13.26,-110,1.910,False,195,2.950,13.87,7.33,False,-250,1.420,86.13,92.67,True,5.5,-105,1.950,31.05,31.28,False,-5.5,-115,1.870,68.95,68.72,True
0,nba.g.2024102213,2024-10-22-10:00,Minnesota,LA Lakers,"-1.5, O/U 223.5",223.5,75.91,86.51,-115,1.870,False,223.5,24.09,13.49,-105,1.950,True,-105,1.950,55.99,49.24,False,-115,1.870,44.01,50.76,True,-1.5,105,2.050,61.32,55.99,False,1.5,-130,1.780,38.68,44.01,True
0,nba.g.2024102301,2024-10-23-10:00,Brooklyn,Atlanta,"-6.5, O/U 223.5",223.5,92.72,84.65,-105,1.950,True,223.5,7.28,15.35,-115,1.870,False,240,3.400,1.76,6.81,False,-300,1.330,98.24,93.19,True,6.5,-105,1.950,65.46,65.54,True,-6.5,-115,1.870,34.54,34.46,False
0,nba.g.2024102303,2024-10-23-10:00,Chicago,New Orleans,"-4.5, O/U 225.5",225.5,83.54,83.7,-105,1.950,True,225.5,16.46,16.3,-115,1.870,False,170,2.700,44.58,14.65,False,-210,1.480,55.42,85.35,True,4.5,-105,1.950,70.66,74.46,False,-4.5,-115,1.870,29.34,25.54,True
0,nba.g.2024102308,2024-10-23-10:00,Indiana,Detroit,"-5.5, O/U 234.5",234.5,85.41,80.78,-115,1.870,False,234.5,14.59,19.22,-105,1.950,True,-225,1.450,88.33,85.87,True,180,2.800,11.67,14.13,False,-5.5,-110,1.910,75.23,73.72,True,5.5,-110,1.910,24.77,26.28,False
0,nba.g.2024102310,2024-10-23-10:00,Charlotte,Houston,"-8.5, O/U 230.5",230.5,72.2,79.68,-110,1.910,False,230.5,27.8,20.32,-110,1.910,True,260,3.600,8.12,5.92,True,-350,1.300,91.88,94.08,False,8.5,-115,1.870,25.98,30.61,True,-8.5,-105,1.950,74.02,69.39,False
0,nba.g.2024102312,2024-10-23-10:00,Phoenix,LA Clippers,"-5.5, O/U 224.5",224.5,87.34,86.97,-105,1.950,True,224.5,12.66,13.03,-115,1.870,False,-210,1.480,89.04,73.69,True,170,2.700,10.96,26.31,False,-5.5,-105,1.950,53.35,45.86,False,5.5,-115,1.870,46.65,54.14,True
0,nba.g.2024102314,2024-10-23-10:00,Orlando,Miami,"-1.5, O/U 208.5",208.5,87.89,91.2,-105,1.950,True,208.5,12.11,8.8,-115,1.870,False,110,2.100,9.89,13.39,True,-130,1.770,90.11,86.61,False,1.5,-105,1.950,30.47,20.15,True,-1.5,-115,1.870,69.53,79.85,False
0,nba.g.2024102320,2024-10-23-10:00,Milwaukee,Philadelphia,"-4.5, O/U 222.5",222.5,80.47,85.16,-110,1.910,True,222.5,19.53,14.84,-110,1.910,False,-185,1.550,88.97,59.45,True,150,2.500,11.03,40.55,False,-4.5,-105,1.950,55.58,50.66,True,4.5,-115,1.870,44.42,49.34,False
0,nba.g.2024102322,2024-10-23-10:00,Golden State,Portland,"-7.5, O/U 222.5",222.5,71.61,84.2,-105,1.950,True,222.5,28.39,15.8,-115,1.870,False,-300,1.330,95.03,95.09,True,240,3.400,4.97,4.91,False,-7.5,-110,1.910,88.44,83.34,True,7.5,-110,1.910,11.56,16.66,False
