,game_id,game_date,away_team,home_team,pregame_odds,total_over_points,total_over_stake_percentage,total_over_wager_percentage,total_over_odds,total_over_decimal_odds,total_over_won,total_under_points,total_under_stake_percentage,total_under_wager_percentage,total_under_odds,total_under_decimal_odds,total_under_won,money_away_odds,money_away_decimal_odds,money_away_stake_percentage,money_away_wager_percentage,money_away_won,money_home_odds,money_home_decimal_odds,money_home_stake_percentage,money_home_wager_percentage,money_home_won,spread_away_points,spread_away_odds,spread_away_decimal_odds,spread_away_stake_percentage,spread_away_wager_percentage,spread_away_won,spread_home_points,spread_home_odds,spread_home_decimal_odds,spread_home_stake_percentage,spread_home_wager_percentage,spread_home_won
0,nba.g.2024013122,2024-01-31-10:00,Milwaukee,Portland,"-10.5, O/U 238.5",238.5,76.8,75.02,-110,1.910,False,238.5,23.18,24.98,-110,1.910,True,-500,1.200,95.96,95.47,False,375,4.750,4.04,4.53,True,-10.5,-110,1.910,70.36,65.86,False,10.5,-110,1.910,29.64,34.14,True
0,nba.g.2024013124,2024-01-31-10:00,Orlando,San Antonio,"-6.5, O/U 226.5",226.5,85.56,87.53,-105,1.950,False,226.5,14.44,12.47,-115,1.870,True,-250,1.400,74.11,81.51,True,200,3.000,25.89,18.49,False,-6.5,-110,1.910,51.92,45.22,True,6.5,-110,1.910,48.08,54.78,False
0,nba.g.2024013125,2024-01-31-10:00,Denver,Oklahoma City,"-5.5, O/U 222.5",222.5,82.98,87.76,-110,1.910,False,222.5,17.01,12.24,-110,1.910,True,180,2.800,22.31,27.89,False,-225,1.450,77.69,72.11,True,5.5,-105,1.950,63.53,67.36,True,-5.5,-115,1.870,36.47,32.64,False
0,nba.g.2024013127,2024-01-31-10:00,LA Clippers,Washington,"-10.5, O/U 235.5",235.5,73.66,69.37,-110,1.910,False,235.5,26.33,30.63,-110,1.910,True,-500,1.200,91.97,91.95,True,375,4.750,8.03,8.05,False,-10.5,-110,1.910,45.54,55.94,True,10.5,-110,1.910,54.46,44.06,False
0,nba.g.2024013130,2024-01-31-10:00,Chicago,Charlotte,"-5.5, O/U 215.5",215.5,87.56,89.52,-105,1.950,True,215.5,12.45,10.48,-115,1.870,False,-225,1.440,96.23,85.81,True,185,2.850,3.77,14.19,False,-5.5,-115,1.870,75.1,70.18,True,5.5,-105,1.950,24.9,29.82,False
0,nba.g.2024020102,2024-02-01-10:00,LA Lakers,Boston,"-14.5, O/U 238.5",238.5,79.63,78.13,-120,1.850,False,238.5,20.36,21.87,-110,1.910,True,825,9.250,21.13,7.55,True,-1400,1.070,78.87,92.45,False,14.5,-105,1.950,60.51,63.22,True,-14.5,-115,1.870,39.49,36.78,False
0,nba.g.2024020118,2024-02-01-10:00,Indiana,New York,"-1.5, O/U 235.5",235.5,80.1,81.35,-110,1.910,False,235.5,19.9,18.65,-110,1.910,True,105,2.050,35.09,17.62,False,-125,1.800,64.91,82.38,True,1.5,-110,1.910,57.57,43.96,False,-1.5,-110,1.910,42.43,56.04,True
0,nba.g.2024020126,2024-02-01-10:00,Philadelphia,Utah,"-4.5, O/U 242.5",242.5,70.67,69.72,-110,1.910,True,242.5,29.34,30.28,-110,1.910,False,165,2.650,11.58,22.37,True,-200,1.500,88.42,77.63,False,4.5,-105,1.950,37.68,37.97,True,-4.5,-115,1.870,62.32,62.03,False
0,nba.g.2024020129,2024-02-01-10:00,Cleveland,Memphis,"-8.5, O/U 215.5",215.5,85.8,87.98,-105,1.950,False,215.5,14.21,12.02,-115,1.870,True,-350,1.280,89.87,86.23,True,280,3.800,10.13,13.77,False,-8.5,-110,1.910,73.41,69.6,False,8.5,-110,1.910,26.59,30.4,True
0,nba.g.2024020201,2024-02-02-10:00,Phoenix,Atlanta,"-3.5, O/U 251.5",251.5,55.73,56.4,-105,1.950,False,251.5,44.27,43.6,-115,1.870,True,-150,1.670,87.46,69.63,False,125,2.250,12.54,30.37,True,-3.5,-105,1.950,57.37,65.53,False,3.5,-115,1.870,42.63,34.47,True
0,nba.g.2024020207,2024-02-02-10:00,Portland,Denver,"-14.5, O/U 218.5",218.5,87.29,92.31,-110,1.910,True,218.5,12.71,7.69,-110,1.910,False,700,8.000,22.46,4.7,False,-1100,1.090,77.54,95.3,True,14.5,-110,1.910,48.56,53.04,True,-14.5,-110,1.910,51.44,46.96,False
0,nba.g.2024020208,2024-02-02-10:00,LA Clippers,Detroit,"-11.5, O/U 239.5",239.5,66.77,67.0,-115,1.870,True,239.5,33.23,33.0,-105,1.950,False,-700,1.140,74.05,91.73,True,500,6.000,25.96,8.27,False,-11.5,-115,1.870,59.48,51.53,False,11.5,-105,1.950,40.52,48.47,True
0,nba.g.2024020210,2024-02-02-10:00,Toronto,Houston,"-4.5, O/U 232.5",232.5,79.26,78.89,-115,1.870,True,232.5,20.74,21.11,-105,1.950,False,150,2.500,9.64,17.86,False,-185,1.550,90.36,82.14,True,4.5,-115,1.870,41.74,41.02,False,-4.5,-105,1.950,58.26,58.98,True
0,nba.g.2024020211,2024-02-02-10:00,Sacramento,Indiana,"-3.5, O/U 248.5",248.5,53.62,55.78,-110,1.910,True,248.5,46.38,44.22,-110,1.910,False,-175,1.570,30.24,59.5,True,145,2.450,69.76,40.5,False,-3.5,-115,1.870,24.31,20.52,True,3.5,-105,1.950,75.69,79.48,False
0,nba.g.2024020216,2024-02-02-10:00,Orlando,Minnesota,"-6.5, O/U 212.5",212.5,87.17,89.43,-110,1.910,True,212.5,12.83,10.57,-110,1.910,False,220,3.200,14.71,7.69,True,-275,1.360,85.29,92.31,False,6.5,-105,1.950,54.77,52.83,True,-6.5,-115,1.870,45.23,47.17,False
0,nba.g.2024020224,2024-02-02-10:00,New Orleans,San Antonio,"-8.5, O/U 235.5",235.5,76.44,81.5,-105,1.950,False,235.5,23.56,18.5,-115,1.870,True,-350,1.280,90.98,89.44,True,275,3.750,9.02,10.56,False,-8.5,-110,1.910,64.59,61.37,False,8.5,-110,1.910,35.41,38.63,True
0,nba.g.2024020225,2024-02-02-10:00,Charlotte,Oklahoma City,"-15.5, O/U 225.5",225.5,84.32,87.16,-105,1.950,True,225.5,15.67,12.84,-115,1.870,False,800,9.000,56.55,6.34,False,-1400,1.070,43.45,93.66,True,15.5,-110,1.910,44.14,45.22,False,-15.5,-110,1.910,55.86,54.78,True
0,nba.g.2024020227,2024-02-02-10:00,Miami,Washington,"-7.5, O/U 228.5",228.5,69.9,76.61,-105,1.950,False,228.5,30.1,23.39,-115,1.870,True,-350,1.300,90.01,86.22,True,260,3.600,9.99,13.78,False,-7.5,-110,1.910,31.99,34.64,True,7.5,-110,1.910,68.01,65.36,False
0,nba.g.2024020229,2024-02-02-10:00,Golden State,Memphis,"-7.5, O/U 225.5",225.5,86.34,86.34,-110,1.910,False,225.5,13.65,13.66,-110,1.910,True,-300,1.330,85.61,84.8,True,240,3.400,14.41,15.2,False,-7.5,-110,1.910,33.66,37.32,True,7.5,-110,1.910,66.34,62.68,False
0,nba.g.2024020301,2024-02-03-10:00,Golden State,Atlanta,"-2.5, O/U 246.5",246.5,78.4,76.72,-105,1.950,True,246.5,21.6,23.28,-115,1.870,False,115,2.150,63.08,31.48,False,-140,1.720,36.91,68.52,True,2.5,-110,1.910,68.98,70.06,False,-2.5,-110,1.910,31.02,29.94,True
0,nba.g.2024020304,2024-02-03-10:00,Sacramento,Chicago,"-1.5, O/U 229.5",229.5,84.78,86.39,-105,1.950,True,229.5,15.21,13.61,-115,1.870,False,-105,1.950,58.23,33.54,True,-115,1.870,41.77,66.46,False,1.5,-120,1.830,70.12,76.6,True,-1.5,100,2.000,29.88,23.4,False
